dataset	Total	Case	Control	AUC	Accuracy	Sensitivity	Confusion_Matrix	Specificity	F1	set
Train	7824	3396	4428	0.6025032904431911	0.5559815950920245	0.6634275618374559	"[[2097 2331]
 [1143 2253]]"	0.4735772357723577	0.5646616541353383	PGS
Validation	3256	1585	1671	0.5719106978008598	0.5515970515970516	0.6675078864353312	"[[ 738  933]
 [ 527 1058]]"	0.44165170556552963	0.5917225950782998	PGS
Test	3513	1676	1837	0.551176232910616	0.5317392541986906	0.6455847255369929	"[[ 786 1051]
 [ 594 1082]]"	0.42787152966793685	0.5681281176161722	PGS
Train	7824	3396	4428	0.8149289961195646	0.7296779141104295	0.7762073027090695	"[[3073 1355]
 [ 760 2636]]"	0.6939927732610659	0.7136862054961418	DEM
Validation	3256	1585	1671	0.8021628938262096	0.73495085995086	0.7230283911671924	"[[1247  424]
 [ 439 1146]]"	0.7462597247157391	0.7264659270998415	DEM
Test	3513	1676	1837	0.7903730399907497	0.7156276686592656	0.6825775656324582	"[[1370  467]
 [ 532 1144]]"	0.7457811649428416	0.6960754487374506	DEM
Train	7824	3396	4428	0.8149289961195646	0.7296779141104295	0.7762073027090695	"[[3073 1355]
 [ 760 2636]]"	0.6939927732610659	0.7136862054961418	PGS_DEM
Validation	3256	1585	1671	0.8021628938262096	0.73495085995086	0.7230283911671924	"[[1247  424]
 [ 439 1146]]"	0.7462597247157391	0.7264659270998415	PGS_DEM
Test	3513	1676	1837	0.7903730399907497	0.7156276686592656	0.6825775656324582	"[[1370  467]
 [ 532 1144]]"	0.7457811649428416	0.6960754487374506	PGS_DEM
