Release_No	PGS_integ
ABBM083156	0.4747269588585537
ABBM012372	0.0900509428471406
ABBM001264	0.7101745797756795
ABBM076485	0.7152983093692894
ABBM072577	0.2942238979220436
ABBM079244	0.7391377172859676
ABBM073937	0.5517373993201937
ABBM074753	0.5017748368185703
ABBM012882	0.4926352997243425
ABBM079235	0.4148860506310174
ABBM078986	0.7155397082040093
ABBM015035	0.5838379621945899
ABBM012388	0.5546099609785454
ABBM014071	0.5181094613405218
ABBM069439	0.5260730175111826
ABBM082504	0.785889585571858
ABBM070050	0.7973657461097325
ABBM070511	0.7790220706142655
ABBM082749	0.095353469362156
ABBM081073	0.6077606463334804
ABBM000883	0.7400437227023628
ABBM073302	0.6838904653549895
ABBM015747	0.5033410279376601
ABBM016499	0.3008160508510149
ABBM013770	0.95080520829536
ABBM100930	0.8518298446292183
ABBM075543	0.2727183466181168
ABBM069702	0.5290086773651397
ABBM070952	0.5898288525746824
ABBM074872	0.5267501365483339
ABBM014732	0.5249674657333706
ABBM070403	0.5937187566442281
ABBM054091	0.5918820491828689
ABBM078852	1.0261212314496255
ABBM079308	0.6807031553301344
ABBM012963	0.5097855863904356
ABBM073377	0.5900155258400481
ABBM000815	0.5269716040768823
ABBM012287	0.6509933156640092
ABBM068134	0.3988796830889943
ABBM070995	0.6594623811298415
ABBM082679	0.2567696686595495
ABBM080838	0.3412514405345193
ABBM012959	0.5613898596027862
ABBM015621	0.9000711135758552
ABBM000865	0.7181850416874879
ABBM078863	0.6496315895423991
ABBM015190	0.4703318574444423
ABBM070132	0.583761913726913
ABBM042736	0.1671871567487248
ABBM025996	0.43648392092571
ABBM013957	0.2202629982221001
ABBM015437	0.5838268729496512
ABBM014881	0.6218783354831667
ABBM069935	0.4207388315567126
ABBM102496	0.5277141474463116
ABBM000624	0.3086549368193548
ABBM077769	0.5328033837838602
ABBM012434	0.5212300146654374
ABBM000609	0.3215778966616406
ABBM083742	0.3207018839676753
ABBM091490	0.4455092603795051
ABBM014852	0.5934767262924423
ABBM012458	0.5729304698365837
ABBM066328	0.3287832191952244
ABBM013967	0.4840394421790666
ABBM015000	0.7907405244232226
ABBM070990	0.6471443178215772
ABBM034279	0.7956835888075755
ABBM077450	0.3111142152014751
ABBM012302	0.5880837218859085
ABBM084525	0.3002461110895764
ABBM080679	1.037143926697049
ABBM078570	0.7274062191359196
ABBM013511	0.8920129704583389
ABBM013921	0.6893175579105469
ABBM074874	0.5329017871491379
ABBM093816	0.5756441051794019
ABBM080729	0.4737976767677634
ABBM082648	0.6695115464965296
ABBM059600	0.7152193857502316
ABBM080691	0.5042081136790952
ABBM069777	0.333431010675221
ABBM015129	0.3822603564872454
ABBM012245	0.083033425798937
ABBM076744	0.3812352562683726
ABBM003841	0.2990744768403376
ABBM012762	0.6953043346865653
ABBM012703	0.7071656714069672
ABBM012323	0.4398392437878594
ABBM088182	0.8534463534112927
ABBM077215	0.6322419064069176
ABBM017033	0.6287409893977822
ABBM063016	0.7123960216622025
ABBM018543	0.5312317189511032
ABBM015861	-0.007844710522649
ABBM069733	0.6858216720776507
ABBM069992	0.6483216166472089
ABBM069700	0.6084206678591132
ABBM072955	0.5215810947325847
ABBM015705	0.5015989963398154
ABBM064606	0.4576249501282621
ABBM005830	0.6533374787200558
ABBM070245	0.6564443767271124
ABBM103934	0.6685806199353326
ABBM072593	0.9634305885649505
ABBM012386	0.0934648642523182
ABBM013987	0.5826831768305116
ABBM095998	0.2521020981259926
ABBM085242	0.5669443738543917
ABBM015393	0.6002441636699654
ABBM079129	0.8507853963900824
ABBM016520	0.9193402946532986
ABBM079076	0.5098992145930661
ABBM070069	0.6404954268176353
ABBM078581	0.8626925124119452
ABBM085414	0.3030183676907007
ABBM071133	0.7747776091275995
ABBM014148	0.62647876791661
ABBM080715	0.3702851975507607
ABBM013371	1.0083536474108004
ABBM000744	0.936327736693752
ABBM081228	0.5374183410916296
ABBM056636	0.7182378985023513
ABBM066800	0.5769569104577222
ABBM082931	-0.0960156307992613
ABBM070988	0.4903674185094539
ABBM012561	0.8141831709457881
ABBM082535	0.4511927078203191
ABBM079777	0.4953124630392853
ABBM077527	0.5061514343284454
ABBM070999	0.6267463642058073
ABBM076737	0.6185419938210657
ABBM014702	0.6001757624628224
ABBM071081	0.1970338260415203
ABBM075195	0.3216522593522463
ABBM015309	0.7032929427841397
ABBM082915	0.2594761156470077
ABBM064038	0.6536452739520112
ABBM079425	0.7690438171377889
ABBM019901	0.7773166236824685
ABBM014343	0.3372142597786974
ABBM012717	0.5699782035648082
ABBM021048	0.3889454012738312
ABBM090028	0.0149809619281852
ABBM014341	0.5183504323373797
ABBM012947	1.001814501439226
ABBM015377	0.4865023458274272
ABBM071647	0.18899510238967
ABBM000098	0.6389168455871426
ABBM082304	0.8435494762843636
ABBM033743	0.387094265265848
ABBM070962	0.4672781390891022
ABBM071027	0.5263967877097401
